"","Population","X","species","x_min","draw","x_max","shape1","shape2","stretch","nu","maxima","breadth","area","special","idx","max_RGR","opt_breadth_low","opt_breadth_high","opt_breadth","x_minBT","x_maxBT","stretchBT","maximaBT","breadthBT","B50_low","B50_high","B50","Range"
"12","I8",92000.5,12,-23.033134025,4000.5,19.0710941875,2.6807453225,2.54796287,0.67304773975,10.589490275,3.43886428733703,42.1042282125,28.3095782806141,0.67304773975,92000.5,0.58013784104375,-9.75033173232323,13.8928850736111,23.6432168059343,5.27621849298561,47.3804467054856,0.313561785812921,31.7482168053226,42.1042282125,18.5590207856624,42.2022375915967,23.6432168059343,"I"
"13","I9",100000.5,13,-23.0828321875,4000.5,18.219786475,2.76120411125,2.59159637625,1.0580398595,8.294939405,3.21390449420139,41.3026186625,43.6469378782695,1.0580398595,100000.5,0.927068922371613,-9.52305871830808,13.1987449367424,22.7218036550505,5.22652033048561,46.5291389929856,0.492923232948235,31.523257012187,41.3026186625,18.7862937996775,41.508097454728,22.7218036550505,"I"
"14","N10",108000.5,14,-22.27790465,4000.5,19.5488792125,2.81546030375,2.72241884375,1.478284072625,10.8751192625,4.10764839830455,41.8267838625,61.7557107949288,1.478284072625,108000.5,1.3228415361273,-8.41809739924242,14.0624074295455,22.4805048287879,6.03144786798561,47.8582317304856,0.688708046064117,32.4170009162902,41.8267838625,19.8912551187432,42.3717599475311,22.4805048287879,"N"
"15","N12",116000.5,15,-22.6025729,4000.5,18.469238725,2.47692759125,3.1934426225,1.004633523625,8.82865640625,-0.534688783968432,41.071811625,41.2029406468833,1.004633523625,116000.5,0.872145440698581,-12.5273048497475,10.3835636641414,22.9108685138889,5.70677961798561,46.7785912429856,0.468042106303474,27.7746637340172,41.071811625,15.7820476682381,38.692916182127,22.9108685138889,"N"
"16","N16",124000.5,16,-22.7820675125,4000.5,18.40899615,2.96258399375,3.41094004875,0.89247346875,8.29281628375,1.73401075374666,41.1910636625,36.7197808894473,0.89247346875,124000.5,0.84513297933204,-9.51680584191919,11.2409526280303,20.7577584699495,5.52728500548561,46.7183486679856,0.415788595851833,30.0433632717323,41.1910636625,18.7925466760664,39.5503051460159,20.7577584699495,"N"
"17","N18",132000.5,17,-22.7266968625,4000.5,18.3379154375,2.873450625,3.088429525,1.262931327875,10.98916513,2.26203465173501,41.0646123,51.7948863990344,1.262931327875,132000.5,1.1620288776564,-9.46610862474748,11.9366908037879,21.4027994285354,5.58265565548561,46.6472679554856,0.588378771875326,30.5713871697206,41.0646123,18.8432438932381,40.2460433217735,21.4027994285354,"N"
"18","N19",140000.5,18,-22.5446747625,4000.5,18.5630365,3.068435675,3.71972325875,1.3696549745,9.77368174375,1.71007797417426,41.1077112625,56.2408664543759,1.3696549745,140000.5,1.34212773426183,-9.06025601944445,10.8903122444444,19.9505682638889,5.76467775548561,46.8723890179856,0.63809954983475,30.0194304921599,41.1077112625,19.2490964985412,39.1996647624301,19.9505682638889,"N"
"19","N20",148000.5,19,-22.7752628625,4000.5,18.6673803375,2.66791335625,2.97319621875,0.872353771,13.53681065375,1.57837044514107,41.4426432,36.1132391732991,0.872353771,148000.5,0.768171042744183,-10.6775942400253,11.9558247449495,22.6334189849747,5.53408965548561,46.9767328554856,0.406415162165168,29.8877229631267,41.4426432,17.6317582779604,40.2651772629351,22.6334189849747,"N"
"20","N21",156000.5,20,-22.408362575,4000.5,18.20707945,2.77031039875,3.3738431275,1.064652760125,9.392659235,0.832909680328648,40.615442025,43.1751263513335,1.064652760125,156000.5,0.979547055056321,-10.5240592782828,10.6930728569444,21.2171321352273,5.90098994298561,46.5164319679856,0.496004073736956,29.1422621983143,40.615442025,17.7852932397028,39.0024253749301,21.2171321352273,"N"
"21","N22",164000.5,21,-22.66868505,4000.5,18.2848595,3.05682670375,3.7175890125,0.85806710275,10.92832695875,1.45910006493924,40.95354455,35.0948724743458,0.85806710275,164000.5,0.838745640750578,-9.28519156174242,10.6260517838384,19.9112433455808,5.64066746798561,46.5942120179856,0.39975924023688,29.7684525829249,40.95354455,19.0241609562432,38.935404301824,19.9112433455808,"N"
