"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"nu[17]",10.99,0.03,2.81,5.89,9.04,10.83,12.82,16.83,9348.9,1
"nu[18]",9.77,0.02,2.42,5.44,8.07,9.65,11.36,14.87,9514.57,1
"nu[19]",13.54,0.03,2.57,8.82,11.7,13.47,15.26,18.79,9194.44,1
"nu[20]",9.39,0.02,1.89,5.86,8.07,9.34,10.65,13.26,10175.44,1
"nu[21]",10.93,0.02,2.04,7.09,9.52,10.88,12.26,15.12,11014.51,1
"nu[22]",8.79,0.02,1.81,5.46,7.54,8.7,9.97,12.55,10259.32,1
"nu[23]",11.54,0.02,2.25,7.4,9.99,11.41,13.01,16.15,10595.16,1
"nu[24]",11.62,0.02,2.26,7.34,10.03,11.54,13.12,16.2,10240.37,1
"nu[25]",10.72,0.02,2.18,6.72,9.19,10.64,12.13,15.19,9958.13,1
"nu[26]",9.26,0.02,1.94,5.64,7.96,9.18,10.54,13.2,10294.85,1
"nu[27]",8.53,0.02,1.78,5.32,7.27,8.47,9.7,12.22,9531.54,1
"nu[28]",8.89,0.02,1.88,5.31,7.6,8.86,10.13,12.7,9584.94,1
"nu[29]",9.36,0.02,1.95,5.64,8.01,9.28,10.66,13.28,9458.9,1
"nu[30]",8.66,0.02,2.09,4.83,7.23,8.58,10.02,13,10422.18,1
"nu[31]",11.24,0.02,2.21,7,9.71,11.18,12.71,15.79,10170.36,1
"mu_shape1",2.92,0,0.21,2.51,2.78,2.92,3.06,3.33,2516.57,1
"mu_shape2",3.06,0,0.24,2.61,2.9,3.06,3.22,3.55,2451.32,1
"mu_stretch",1.02,0,0.18,0.67,0.9,1.02,1.14,1.37,14063.77,1
"mu_min",-22.58,0.02,0.59,-23.82,-22.95,-22.55,-22.18,-21.49,809.89,1
"mu_max",18.55,0.01,0.35,17.91,18.31,18.54,18.78,19.28,2489.58,1
"mu_nu",0.21,0,0.03,0.16,0.19,0.2,0.22,0.26,14768.48,1
"x_min[1]",-22.99,0.02,1.08,-25.16,-23.71,-22.95,-22.26,-20.94,2545.52,1
"x_min[2]",-22.44,0.02,1.14,-24.71,-23.19,-22.42,-21.65,-20.27,2331,1
"x_min[3]",-22.49,0.02,1.11,-24.75,-23.25,-22.47,-21.74,-20.36,2488.86,1
"x_min[4]",-22.76,0.02,1.09,-24.94,-23.51,-22.74,-22.01,-20.7,2038.74,1
"x_min[5]",-22.53,0.02,1.12,-24.74,-23.26,-22.54,-21.79,-20.3,2697.41,1
"x_min[6]",-22.88,0.02,1.08,-25.07,-23.59,-22.87,-22.14,-20.8,2179.34,1
"x_min[7]",-23.06,0.02,1.08,-25.17,-23.79,-23.04,-22.32,-20.98,2178.53,1
"x_min[8]",-22.66,0.02,1.11,-24.87,-23.42,-22.64,-21.88,-20.56,2218.08,1
"x_min[9]",-22.63,0.02,1.1,-24.83,-23.36,-22.62,-21.89,-20.57,2239.01,1
"x_min[10]",-22.39,0.02,1.13,-24.64,-23.16,-22.37,-21.62,-20.22,2205.03,1
"x_min[11]",-22.61,0.02,1.11,-24.85,-23.34,-22.6,-21.86,-20.48,2218.49,1
"x_min[12]",-23.03,0.02,1.07,-25.15,-23.74,-23.02,-22.33,-20.94,2164.85,1
"x_min[13]",-23.08,0.02,1.08,-25.24,-23.81,-23.08,-22.33,-21.05,2234.94,1
"x_min[14]",-22.28,0.02,1.15,-24.62,-23.03,-22.25,-21.48,-20.13,2433.68,1
