"Round","Population","Family","Replicate","daytemp","nighttemp","StemIN","StemOUT","secondarytotIN","secondarytotOUT","AvgsecondaryIN","AvgsecondaryOUT","TotIN_Sub","TotOUT_Sub","RGRTOT1","RGRTOT1x"
3,"I1",264,0.04,30,20,2.2,3.5,5,13,0.3,2.4,3.7,34.7,1.1969111969112,1.1969111969112
3,"I1",264,0.02,40,30,1.6,3.1,6,13,0.3,2.1,3.4,30.4,1.13445378151261,1.13445378151261
3,"I1",264,0.06,45,35,2.8,3.3,7,5,0.3,0.3,4.9,4.8,-0.00291545189504375,0
3,"I10",302,0.02,40,30,2.3,4.7,4,10,0.3,2.2,3.5,26.7,0.946938775510204,0.946938775510204
4,"I10",306,0.04,25,15,2.3,3.2,5,8,0.3,2.3,3.8,21.6,0.669172932330827,0.669172932330827
3,"I10",306,0.06,45,35,2.3,2.3,5,6,0.3,0.3,3.8,4.1,0.0112781954887218,0.0112781954887218
4,"I11",308,0.04,25,15,2.2,10.1,7,10,0.3,4.7,4.3,57.1,1.75415282392027,1.75415282392027
4,"I11",310,0.02,45,35,0.9,1.3,2,4,0.3,0.6,1.5,3.7,0.20952380952381,0.20952380952381
4,"I12",312,0.05,20,10,3.4,11.2,6,10,0.3,3.4,5.2,45.2,1.0989010989011,1.0989010989011
4,"I12",312,0.06,20,10,3.1,6.6,2,9,0.3,1.3,3.7,18.3,0.563706563706564,0.563706563706564
4,"I12",312,0.04,25,15,2.2,9,6,8,0.3,2.7,4,30.6,0.95,0.95
4,"I12",313,0.05,20,10,1,3.3,5,9,0.3,1.2,2.5,14.1,0.662857142857143,0.662857142857143
4,"I12",313,0.03,25,15,2.5,5.3,4,8,0.3,3.7,3.7,34.9,1.2046332046332,1.2046332046332
3,"I12",313,0.02,40,30,4,9.9,6,14,0.3,2.9,5.8,50.5,1.10098522167488,1.10098522167488
3,"I12",313,0.06,45,35,4.3,3.3,10,5,0.3,0.5,7.3,5.8,-0.0293542074363992,0
4,"I12",314,0.04,25,15,4,11,7,8,0.3,4.1,6.1,43.8,0.882903981264637,0.882903981264637
4,"I12",314,0.02,45,35,3.4,4,4,6,0.3,0.7,4.6,8.2,0.111801242236025,0.111801242236025
4,"I16",326,0.04,25,15,3.5,6.1,8,12,0.3,3.2,5.9,44.5,0.934624697336562,0.934624697336562
4,"I2",265,0.05,20,10,3.6,6.7,4,8,0.3,1.2,4.8,16.3,0.342261904761905,0.342261904761905
3,"I2",265,0.03,30,20,4.9,16.2,7,7,0.3,5.1,7,51.9,0.916326530612245,0.916326530612245
4,"I2",265,0.02,45,35,3.3,4.2,2,3,0.3,0.7,3.9,6.3,0.0879120879120879,0.0879120879120879
4,"I2",265,0.01,45,35,3.4,4.3,2,3,0.3,0.4,4,5.5,0.0535714285714286,0.0535714285714286
4,"I2",266,0.03,25,15,3.5,8.5,4,8,0.3,4.1,4.7,41.3,1.11246200607903,1.11246200607903
3,"I2",266,0.06,45,35,8.4,9.1,8,8,0.3,0.5,10.8,13.1,0.0304232804232804,0.0304232804232804
4,"I2",267,0.05,20,10,1.5,3.3,2,6,0.3,1.9,2.1,14.7,0.857142857142857,0.857142857142857
4,"I2",267,0.03,25,15,3.7,5.9,2,8,0.3,1.1,4.3,14.7,0.345514950166113,0.345514950166113
3,"I2",267,0.01,40,30,1.4,4.1,6,8,0.3,0.8,3.2,10.5,0.325892857142857,0.325892857142857
4,"I2",267,0.02,45,35,2.3,1.7,2,1,0.3,0.2,2.9,1.9,-0.0492610837438424,0
3,"I3",269,0.01,40,30,2.6,6.5,3,8,0.3,2,3.5,22.5,0.775510204081633,0.775510204081633
4,"I3",270,0.04,25,15,1.2,2.7,4,8,0.3,2.3,2.4,21.1,1.11309523809524,1.11309523809524
4,"I3",271,0.01,45,35,2.8,2.9,4,7,0.3,0.5,4,6.4,0.0857142857142857,0.0857142857142857
3,"I4",274,0.02,40,30,1.5,2.4,6,13,0.3,3.8,3.3,51.8,2.0995670995671,2.0995670995671
3,"I4",277,0.01,40,30,2.6,5,5,14,0.3,4.5,4.1,68,2.22648083623693,2.22648083623693
3,"I4",277,0.02,40,30,2.8,4,6,15,0.3,4,4.6,64,1.84472049689441,1.84472049689441
4,"I4",278,0.04,25,15,2.2,5.2,3,6,0.3,1.6,3.1,14.8,0.539170506912443,0.539170506912443
3,"I4",278,0.02,40,30,2.9,5.9,4,18,0.3,2,4.1,41.9,1.31707317073171,1.31707317073171
3,"I4",278,0.05,45,35,2.8,0,6,0,0.3,0,4.6,0,-0.142857142857143,0
3,"I5",279,0.01,40,30,1.4,2.3,7,7,0.3,1.2,3.5,10.7,0.293877551020408,0.293877551020408
3,"I5",279,0.02,40,30,2.7,4.2,5,7,0.3,3,4.2,25.2,0.714285714285714,0.714285714285714
3,"I5",280,0.04,30,20,3.4,9.7,8,12,0.3,4,5.8,57.7,1.27832512315271,1.27832512315271
3,"I5",283,0.04,30,20,1.9,6.8,7,11,0.3,2.9,4,38.7,1.23928571428571,1.23928571428571
4,"I5",283,0.02,45,35,2.2,2.6,1,4,0.3,0.4,2.5,4.2,0.0971428571428572,0.0971428571428572
3,"I6",284,0.04,30,20,2.6,7.1,1,4,0.3,1.8,2.9,14.3,0.561576354679803,0.561576354679803
3,"I6",284,0.01,40,30,5.6,8.3,8,8,0.3,2.6,8,29.1,0.376785714285714,0.376785714285714
4,"I6",284,0.01,45,35,5.6,0,4,0,0.3,0,6.8,0,-0.142857142857143,0
4,"I6",285,0.06,20,10,2.7,6.3,4,5,0.3,6,3.9,36.3,1.18681318681319,1.18681318681319
4,"I6",286,0.02,45,35,1.3,2.2,4,7,0.3,1.3,2.5,11.3,0.502857142857143,0.502857142857143
3,"I6",288,0.01,40,30,1.2,2.2,6,6,0.3,2.6,3,17.8,0.704761904761905,0.704761904761905
3,"I6",288,0.02,40,30,2.2,2.2,2,9,0.3,1,2.8,11.2,0.428571428571428,0.428571428571428
3,"I7",292,0.01,40,30,2,5.3,1,2,0.3,2.6,2.3,10.5,0.509316770186335,0.509316770186335
4,"I8",294,0.02,45,35,1.2,1.6,4,6,0.3,0.7,2.4,5.8,0.202380952380952,0.202380952380952
4,"I8",295,0.01,45,35,3.7,0,2,0,0.3,0,4.3,0,-0.142857142857143,0
4,"I8",296,0.01,45,35,1.3,1.8,3,5,0.3,0.4,2.2,3.8,0.103896103896104,0.103896103896104
4,"I9",298,0.04,25,15,1.5,4.5,4,6,0.3,1.4,2.7,12.9,0.53968253968254,0.53968253968254
4,"I9",298,0.02,45,35,3.9,1.5,7,2,0.3,2.3,6,6.1,0.00238095238095237,0.00238095238095237
4,"I9",300,0.03,25,15,0.7,1.6,1,4,0.3,0.6,1,4,0.428571428571429,0.428571428571429
4,"I9",301,0.04,25,15,2.4,7,5,11,0.3,5.5,3.9,67.5,2.32967032967033,2.32967032967033
4,"I9",301,0.02,45,35,1.5,2.9,4,8,0.3,0.7,2.7,8.5,0.306878306878307,0.306878306878307
