"","daytemp","Family","RGR","Population","PopulationI"
"36",-18.3093525179856,206,0.115714853130192,"N26",24
"37",-18.3093525179856,212,0.12676337688344,"N27",25
"38",-18.3093525179856,216,0.190545925323604,"N27",25
"39",-18.3093525179856,221,0.0965273137890551,"N27",25
"40",-18.3093525179856,235,0.462066006934659,"N29",26
"41",-18.3093525179856,236,0.0403008761832028,"N29",26
"42",-18.3093525179856,237,0.056211950836928,"N29",26
"43",-18.3093525179856,245,0.320188333778311,"N30",27
"44",-18.3093525179856,247,0.133650050698632,"N30",27
"45",-18.3093525179856,249,0.317945078792082,"N30",27
"46",-18.3093525179856,251,0.205274192537629,"N31",28
"47",-18.3093525179856,252,0.229467816610216,"N31",28
"48",-18.3093525179856,253,0.333853894342532,"N31",28
"49",-18.3093525179856,256,0.144867921918394,"N32",29
"50",-18.3093525179856,258,0.324389775685162,"N32",29
"51",-18.3093525179856,259,0.335018153210296,"N32",29
"52",-18.3093525179856,260,0.211187411483536,"I1",1
"53",-18.3093525179856,263,0.0724927167781866,"I1",1
"54",-18.3093525179856,264,0.318619624659328,"I1",1
"55",-18.3093525179856,265,0.165663680753086,"I2",6
"56",-18.3093525179856,266,0.4192857862596,"I2",6
"57",-18.3093525179856,267,0.302574955761435,"I2",6
"58",-18.3093525179856,269,0.175791505490485,"I3",7
"59",-18.3093525179856,270,0.315144777834571,"I3",7
"60",-18.3093525179856,271,0.305129282718794,"I3",7
"61",-18.3093525179856,273,0.0923842549071469,"I3",7
"62",-18.3093525179856,274,0.13028205128669,"I4",8
"63",-18.3093525179856,275,0.17315202934322,"I4",8
"64",-18.3093525179856,277,0.154389875973576,"I4",8
"65",-18.3093525179856,278,0.0365873814163219,"I4",8
"66",-18.3093525179856,279,0.170587509288139,"I5",9
"67",-18.3093525179856,280,0.137461246493915,"I5",9
"68",-18.3093525179856,283,0.315836214435752,"I5",9
"69",-18.3093525179856,284,0.103772648597675,"I6",10
"70",-18.3093525179856,285,0.257674080364904,"I6",10
"71",-18.3093525179856,286,0.148474695386486,"I6",10
"72",-18.3093525179856,288,0.0850477767679819,"I6",10
"73",-18.3093525179856,289,0.171535648482102,"I7",11
"74",-18.3093525179856,290,0.0779298710724916,"I7",11
"75",-18.3093525179856,291,0.069211255047938,"I7",11
"76",-18.3093525179856,292,0.101456555804112,"I7",11
"77",-18.3093525179856,294,0.345563274660319,"I8",12
"78",-18.3093525179856,295,0.175967171794625,"I8",12
"79",-18.3093525179856,296,0.157265776256916,"I8",12
"80",-18.3093525179856,298,0.223694278885739,"I9",13
"81",-18.3093525179856,300,0.551873424350854,"I9",13
"82",-18.3093525179856,301,0.149418417977146,"I9",13
"83",-18.3093525179856,302,0.0647987342221462,"I10",2
"84",-18.3093525179856,305,0.110534029932854,"I10",2
"85",-18.3093525179856,306,0.175843776124707,"I10",2
"86",-18.3093525179856,308,0.124078621999739,"I11",3
"87",-18.3093525179856,309,0.209552960262106,"I11",3
"88",-18.3093525179856,310,0.163304816451176,"I11",3
"89",-18.3093525179856,311,0.137125427942943,"I11",3
"90",-18.3093525179856,312,0.0883530631135064,"I12",4
"91",-18.3093525179856,313,0.246404813620126,"I12",4
"92",-18.3093525179856,314,0.240494114348024,"I12",4
"93",-18.3093525179856,326,0.0957537330166667,"I16",5
"94",-8.30935251798561,35,0.635778808011241,"N8",30
"95",-8.30935251798561,36,0.677973124365767,"N8",30
"96",-8.30935251798561,50,0.795521188134692,"N9",31
"97",-8.30935251798561,52,0.628578134893725,"N9",31
"98",-8.30935251798561,54,0.962703563148262,"N9",31
"99",-8.30935251798561,65,1.90631652423919,"N10",14
"100",-8.30935251798561,66,1.5974266734608,"N10",14
"101",-8.30935251798561,67,1.37104865678544,"N10",14
"102",-8.30935251798561,81,1.94080583943448,"N12",15
"103",-8.30935251798561,82,1.25630430850706,"N12",15
"104",-8.30935251798561,84,2.58451271174888,"N12",15
"105",-8.30935251798561,137,0.257261682796826,"N16",16
"106",-8.30935251798561,139,0.739536538655959,"N16",16
"107",-8.30935251798561,140,0.530997652952645,"N16",16
"108",-8.30935251798561,147,2.01117863561316,"N18",17
"109",-8.30935251798561,148,0.371159800949323,"N18",17
"110",-8.30935251798561,153,1.04551457840663,"N19",18
"111",-8.30935251798561,154,0.695703531119572,"N19",18
"112",-8.30935251798561,156,1.03485886915958,"N20",19
"113",-8.30935251798561,158,0.622109509099219,"N20",19
"114",-8.30935251798561,159,1.26549658503442,"N20",19
"115",-8.30935251798561,161,1.02814735299889,"N21",20
